tf_bnum	tf_symbol	gene_bnum	gene_symbol
b0464	acrR	b0029	ispH
b0464	acrR	b0051	rsmA
b0464	acrR	b0080	cra
b0464	acrR	b0082	rsmH
b0464	acrR	b0088	murD
b0464	acrR	b0093	ftsQ
b0464	acrR	b0149	mrcB
b0464	acrR	b0167	glnD
b0464	acrR	b0242	proB
b0464	acrR	b0369	hemB
b0464	acrR	b0391	ppnP
b0464	acrR	b0414	ribD
b0464	acrR	b0421	ispA
b0464	acrR	b0463	acrA
b0464	acrR	b0465	mscK
b0464	acrR	b0470	dnaX
b0464	acrR	b0470	dnaX
b0464	acrR	b0492	cnoX
b0464	acrR	b0659	ybeY
b0464	acrR	b0675	umpH
b0464	acrR	b0923	mukE
b0464	acrR	b0955	ycbZ
b0464	acrR	b0962	helD
b0464	acrR	b1034	ycdX
b0464	acrR	b1107	nagZ
b0464	acrR	b1128	roxA
b0464	acrR	b1129	phoQ
b0464	acrR	b1214	ychA
b0464	acrR	b1249	clsA
b0464	acrR	b1323	tyrR
b0464	acrR	b1413	hrpA
b0464	acrR	b1424	opgD
b0464	acrR	b1624	ydgJ
b0464	acrR	b1865	nudB
b0464	acrR	b1913	uvrC
b0464	acrR	b1914	uvrY
b0464	acrR	b1928	yedD
b0464	acrR	b2064	asmA
b0464	acrR	b2065	dcd
b0464	acrR	b2188	yejM
b0464	acrR	b2216	rcsD
b0464	acrR	b2300	yfcE
b0464	acrR	b2303	folX
b0464	acrR	b2320	pdxB
b0464	acrR	b2431	yfeX
b0464	acrR	b2441	eutB
b0464	acrR	b2501	ppk
b0464	acrR	b2502	ppx
b0464	acrR	b2513	yfgM
b0464	acrR	b2564	pdxJ
b0464	acrR	b2566	era
b0464	acrR	b2567	rnc
b0464	acrR	b2576	srmB
b0464	acrR	b2610	ffh
b0464	acrR	b2744	umpG
b0464	acrR	b2745	truD
b0464	acrR	b2784	relA
b0464	acrR	b2822	recC
b0464	acrR	b2827	thyA
b0464	acrR	b2830	rppH
b0464	acrR	b2893	dsbC
b0464	acrR	b2901	bglA
b0464	acrR	b2908	pepP
b0464	acrR	b2909	ygfB
b0464	acrR	b2947	gshB
b0464	acrR	b2962	yggX
b0464	acrR	b3019	parC
b0464	acrR	b3030	parE
b0464	acrR	b3032	cpdA
b0464	acrR	b3147	lpoA
b0464	acrR	b3191	mlaB
b0464	acrR	b3192	mlaC
b0464	acrR	b3197	kdsD
b0464	acrR	b3199	lptC
b0464	acrR	b3201	lptB
b0464	acrR	b3205	rapZ
b0464	acrR	b3210	arcB
b0464	acrR	b3247	rng
b0464	acrR	b3279	yrdA
b0464	acrR	b3283	yrdD
b0464	acrR	b3288	fmt
b0464	acrR	b3352	yheS
b0464	acrR	b3385	gph
b0464	acrR	b3386	rpe
b0464	acrR	b3551	bisC
b0464	acrR	b3590	selB
b0464	acrR	b3607	cysE
b0464	acrR	b3640	dut
b0464	acrR	b3701	dnaN
b0464	acrR	b3702	dnaA
b0464	acrR	b3779	gpp
b0464	acrR	b3802	hemY
b0464	acrR	b3813	uvrD
b0464	acrR	b3844	fre
b0464	acrR	b3859	srkA
b0464	acrR	b3911	cpxA
b0464	acrR	b3961	oxyR
b0464	acrR	b3963	fabR
b0464	acrR	b3964	yijD
b0464	acrR	b3965	trmA
b0464	acrR	b3997	hemE
b0464	acrR	b4043	lexA
b0464	acrR	b4160	psd
b0464	acrR	b4170	mutL
b0464	acrR	b4221	tamB
b0464	acrR	b4235	pmbA
b0464	acrR	b4295	yjhU
b2213	ada	b0029	ispH
b2213	ada	b0051	rsmA
b2213	ada	b0080	cra
b2213	ada	b0082	rsmH
b2213	ada	b0088	murD
b2213	ada	b0093	ftsQ
b2213	ada	b0149	mrcB
b2213	ada	b0167	glnD
b2213	ada	b0242	proB
b2213	ada	b0369	hemB
b2213	ada	b0391	ppnP
b2213	ada	b0414	ribD
b2213	ada	b0421	ispA
b2213	ada	b0463	acrA
b2213	ada	b0465	mscK
b2213	ada	b0470	dnaX
b2213	ada	b0470	dnaX
b2213	ada	b0492	cnoX
b2213	ada	b0659	ybeY
b2213	ada	b0675	umpH
b2213	ada	b0923	mukE
b2213	ada	b0955	ycbZ
b2213	ada	b0962	helD
b2213	ada	b1034	ycdX
