tf_bnum	tf_symbol	gene_bnum	gene_symbol	new_tf_symbol	test_tf	new_gene_symbol	test_gene
b0464	acrR	b0926	ycbK	acrR	TRUE	mepK	FALSE
b0464	acrR	b4235	pmbA	acrR	TRUE	tldE	FALSE
b2213	ada	b0926	ycbK	ada	TRUE	mepK	FALSE
b2213	ada	b4235	pmbA	ada	TRUE	tldE	FALSE
b4116	adiY	b0926	ycbK	adiY	TRUE	mepK	FALSE
b4116	adiY	b4235	pmbA	adiY	TRUE	tldE	FALSE
b3131	agaR	b0926	ycbK	agaR	TRUE	mepK	FALSE
b3131	agaR	b4235	pmbA	agaR	TRUE	tldE	FALSE
b4187	aidB	b0926	ycbK	aidB	TRUE	mepK	FALSE
b4187	aidB	b4235	pmbA	aidB	TRUE	tldE	FALSE
b2697	alaS	b0926	ycbK	alaS	TRUE	mepK	FALSE
b2697	alaS	b4235	pmbA	alaS	TRUE	tldE	FALSE
b0506	allR	b0926	ycbK	allR	TRUE	mepK	FALSE
b0506	allR	b4235	pmbA	allR	TRUE	tldE	FALSE
b0504	allS	b0926	ycbK	allS	TRUE	mepK	FALSE
b0504	allS	b4235	pmbA	allS	TRUE	tldE	FALSE
b2624	alpA	b0926	ycbK	alpA	TRUE	mepK	FALSE
b2624	alpA	b4235	pmbA	alpA	TRUE	tldE	FALSE
b4089	alsR	b0926	ycbK	alsR	TRUE	mepK	FALSE
b4089	alsR	b4235	pmbA	alsR	TRUE	tldE	FALSE
b0564	appY	b0926	ycbK	appY	TRUE	mepK	FALSE
b0564	appY	b4235	pmbA	appY	TRUE	tldE	FALSE
b0064	araC	b0926	ycbK	araC	TRUE	mepK	FALSE
b0064	araC	b4235	pmbA	araC	TRUE	tldE	FALSE
b4401	arcA	b0926	ycbK	arcA	TRUE	mepK	FALSE
b4401	arcA	b4235	pmbA	arcA	TRUE	tldE	FALSE
b2916	argP	b0926	ycbK	argP	TRUE	mepK	FALSE
b2916	argP	b4235	pmbA	argP	TRUE	tldE	FALSE
b3237	argR	b0926	ycbK	argR	TRUE	mepK	FALSE
b3237	argR	b4235	pmbA	argR	TRUE	tldE	FALSE
b3501	arsR	b0926	ycbK	arsR	TRUE	mepK	FALSE
b3501	arsR	b4235	pmbA	arsR	TRUE	tldE	FALSE
b2714	ascG	b0926	ycbK	ascG	TRUE	mepK	FALSE
b2714	ascG	b4235	pmbA	ascG	TRUE	tldE	FALSE
b3743	asnC	b0926	ycbK	asnC	TRUE	mepK	FALSE
b3743	asnC	b4235	pmbA	asnC	TRUE	tldE	FALSE
