tf_bnum	tf_symbol	gene_bnum	gene_symbol	valid_tf	valid_gene
b0020	nhaR	b0624	flc	TRUE	FALSE
b0034	caiF	b0624	flc	TRUE	FALSE
b0064	araC	b0624	flc	TRUE	FALSE
b0069	sgrR	b0624	flc	TRUE	FALSE
b0076	leuO	b0624	flc	TRUE	FALSE
b0080	fruR	b0624	flc	TRUE	FALSE
b0113	pdhR	b0624	flc	TRUE	FALSE
b0162	cdaR	b0624	flc	TRUE	FALSE
b0225	yafQ	b0624	flc	TRUE	FALSE
b0226	dinJ	b0624	flc	TRUE	FALSE
b0294	matA	b0624	flc	TRUE	FALSE
b0305	ykgD	b0624	flc	TRUE	FALSE
b0313	betI	b0624	flc	TRUE	FALSE
b0330	prpR	b0624	flc	TRUE	FALSE
b0338	cynR	b0624	flc	TRUE	FALSE
b0345	lacI	b0624	flc	TRUE	FALSE
b0346	mhpR	b0624	flc	TRUE	FALSE
b0399	phoB	b0624	flc	TRUE	FALSE
b0413	nrdR	b0624	flc	TRUE	FALSE
b0435	bolA	b0624	flc	TRUE	FALSE
b0440	hupB	b0624	flc	TRUE	FALSE
b0464	acrR	b0624	flc	TRUE	FALSE
b0487	cueR	b0624	flc	TRUE	FALSE
b0506	allR	b0624	flc	TRUE	FALSE
b0564	appY	b0624	flc	TRUE	FALSE
b0566	envY	b0624	flc	TRUE	FALSE
b0571	cusR	b0624	flc	TRUE	FALSE
b0620	citB	b0624	flc	TRUE	FALSE
b0676	nagC	b0624	flc	TRUE	FALSE
b0683	fur	b0624	flc	TRUE	FALSE
b0694	kdpE	b0624	flc	TRUE	FALSE
b0730	mngR	b0624	flc	TRUE	FALSE
b0761	modE	b0624	flc	TRUE	FALSE
b0817	mntR	b0624	flc	TRUE	FALSE
b0840	deoR	b0624	flc	TRUE	FALSE
b0846	ybjK	b0624	flc	TRUE	FALSE
b0889	lrp	b0624	flc	TRUE	FALSE
b0912	ihfB	b0624	flc	TRUE	FALSE
b0995	torR	b0624	flc	TRUE	FALSE
b1013	rutR	b0624	flc	TRUE	FALSE
b1014	putA	b0624	flc	TRUE	FALSE
b1040	csgD	b0624	flc	TRUE	FALSE
b1130	phoP	b0624	flc	TRUE	FALSE
b1162	ycgE	b0624	flc	TRUE	FALSE
b1187	fadR	b0624	flc	TRUE	FALSE
b1201	dhaR	b0624	flc	TRUE	FALSE
b1221	narL	b0624	flc	TRUE	FALSE
b1237	hns	b0624	flc	TRUE	FALSE
b1275	cysB	b0624	flc	TRUE	FALSE
b1299	puuR	b0624	flc	TRUE	FALSE
b1303	pspF	b0624	flc	TRUE	FALSE
b1323	tyrR	b0624	flc	TRUE	FALSE
b1328	ycjZ	b0624	flc	TRUE	FALSE
b1334	fnr	b0624	flc	TRUE	FALSE
b1384	feaR	b0624	flc	TRUE	FALSE
b1399	paaX	b0624	flc	TRUE	FALSE
b1434	ydcN	b0624	flc	TRUE	FALSE
b1450	yncC	b0624	flc	TRUE	FALSE
b1499	ydeO	b0624	flc	TRUE	FALSE
b1507	hipA	b0624	flc	TRUE	FALSE
b1508	hipB	b0624	flc	TRUE	FALSE
b1512	lsrR	b0624	flc	TRUE	FALSE
b1530	marR	b0624	flc	TRUE	FALSE
b1531	marA	b0624	flc	TRUE	FALSE
b1563	relE	b0624	flc	TRUE	FALSE
b1564	relB	b0624	flc	TRUE	FALSE
b1594	dgsA	b0624	flc	TRUE	FALSE
b1608	rstA	b0624	flc	TRUE	FALSE
b1618	uidR	b0624	flc	TRUE	FALSE
b1620	malI	b0624	flc	TRUE	FALSE
b1642	slyA	b0624	flc	TRUE	FALSE
