tf_bnum	tf_symbol	gene_bnum	gene_symbol
b4366	bglJ	b0076	leuO
b4000	hupA	b0756	galM
b4000	hupA	b0757	galK
b4000	hupA	b0758	galT
b4000	hupA	b0759	galE
b0440	hupB	b0756	galM
b0440	hupB	b0757	galK
b0440	hupB	b0758	galT
b0440	hupB	b0759	galE
b0620	citB	b0620	citB
b0620	citB	b0613	citG
b0620	citB	b0614	citX
b0620	citB	b0615	citF
b0620	citB	b0616	citE
b0620	citB	b0617	citD
b0620	citB	b0618	citC
b0620	citB	b0619	citA
b0080	fruR	b3357	crp
b0080	fruR	b1040	csgD
b0080	fruR	b3601	mtlR
b0080	fruR	b0733	cydA
b0080	fruR	b0734	cydB
b3512	gadE	b3507	dctR
b3512	gadE	b3516	gadX
b1507	hipA	b1507	hipA
b1507	hipA	b1508	hipB
b1507	hipA	b2783	mazE
b1508	hipB	b1507	hipA
b1508	hipB	b1508	hipB
b1508	hipB	b2783	mazE
b1237	hns	b4116	adiY
b1237	hns	b0564	appY
b1237	hns	b4366	bglJ
b1237	hns	b4133	cadC
b1237	hns	b1040	csgD
b1237	hns	b3556	cspA
b1237	hns	b3507	dctR
b1237	hns	b2369	evgA
b1237	hns	b1891	flhC
b1237	hns	b1892	flhD
b1237	hns	b3512	gadE
b1237	hns	b3515	gadW
b1237	hns	b3516	gadX
b1237	hns	b4480	hdfR
b1237	hns	b1237	hns
b1237	hns	b0076	leuO
b1237	hns	b0889	lrp
b1237	hns	b2217	rcsB
b1237	hns	b2669	stpA
b1237	hns	b4365	yjjQ
b1237	hns	b0342	lacA
b1237	hns	b0343	lacY
b1237	hns	b0344	lacZ
b1237	hns	b0733	cydA
b1237	hns	b0734	cydB
b1237	hns	b0756	galM
b1237	hns	b0757	galK
b1237	hns	b0758	galT
b1237	hns	b0759	galE
b1237	hns	b0812	dps
b1712	ihfA	b1040	csgD
b1712	ihfA	b2731	fhlA
b1712	ihfA	b3261	fis
b1712	ihfA	b1334	fnr
b1712	ihfA	b2725	hycA
b1712	ihfA	b1712	ihfA
b1712	ihfA	b0912	ihfB
b1712	ihfA	b3405	ompR
b1712	ihfA	b1306	pspC
b1712	ihfA	b3118	tdcA
b1712	ihfA	b3574	yiaJ
b1712	ihfA	b0032	carA
b1712	ihfA	b0033	carB
b1712	ihfA	b0124	gcd
b1712	ihfA	b0125	hpt
b1712	ihfA	b0809	glnQ
b1712	ihfA	b0810	glnP
b1712	ihfA	b0811	glnH
b0912	ihfB	b1040	csgD
b0912	ihfB	b2731	fhlA
b0912	ihfB	b3261	fis
b0912	ihfB	b1334	fnr
b0912	ihfB	b2725	hycA
b0912	ihfB	b1712	ihfA
b0912	ihfB	b0912	ihfB
b0912	ihfB	b3405	ompR
b0912	ihfB	b1306	pspC
b0912	ihfB	b3118	tdcA
b0912	ihfB	b3574	yiaJ
b0912	ihfB	b0032	carA
b0912	ihfB	b0033	carB
b0912	ihfB	b0124	gcd
b0912	ihfB	b0125	hpt
b0912	ihfB	b0809	glnQ
b0912	ihfB	b0810	glnP
