tf_bnum	tf_symbol	gene_bnum	gene_symbol	new_tf_symbol	test_tf	new_gene_symbol	test_gene
b0620	citB	b0620	citB	dpiA	FALSE	dpiA	FALSE
b0620	citB	b0613	citG	dpiA	FALSE	citG	TRUE
b0620	citB	b0614	citX	dpiA	FALSE	citX	TRUE
b0620	citB	b0615	citF	dpiA	FALSE	citF	TRUE
b0620	citB	b0616	citE	dpiA	FALSE	citE	TRUE
b0620	citB	b0617	citD	dpiA	FALSE	citD	TRUE
b0620	citB	b0618	citC	dpiA	FALSE	citC	TRUE
b0620	citB	b0619	citA	dpiA	FALSE	dpiB	FALSE
b0080	fruR	b3357	crp	cra	FALSE	crp	TRUE
b0080	fruR	b1040	csgD	cra	FALSE	csgD	TRUE
b0080	fruR	b3601	mtlR	cra	FALSE	mtlR	TRUE
b0080	fruR	b0733	cydA	cra	FALSE	cydA	TRUE
b0080	fruR	b0734	cydB	cra	FALSE	cydB	TRUE
b1712	ihfA	b3574	yiaJ	ihfA	TRUE	plaR	FALSE
b0912	ihfB	b3574	yiaJ	ihfB	TRUE	plaR	FALSE
b3021	ygiT	b1040	csgD	mqsA	FALSE	csgD	TRUE
b3021	ygiT	b0880	cspD	mqsA	FALSE	cspD	TRUE
b1649	ydhM	b1649	ydhM	nemR	FALSE	nemR	FALSE
b4327	yjiE	b0197	metQ	hypT	FALSE	metQ	TRUE
b4327	yjiE	b0198	metI	hypT	FALSE	metI	TRUE
b4327	yjiE	b0199	metN	hypT	FALSE	metN	TRUE
b4327	yjiE	b0733	cydA	hypT	FALSE	cydA	TRUE
b4327	yjiE	b0734	cydB	hypT	FALSE	cydB	TRUE
b0846	ybjK	b1040	csgD	rcdA	FALSE	csgD	TRUE
b1328	ycjZ	b1323	tyrR	pgrR	FALSE	tyrR	TRUE
b1969	yedW	b0571	cusR	hprR	FALSE	cusR	TRUE
b1969	yedW	b0570	cusS	hprR	FALSE	cusS	TRUE
b1969	yedW	b0572	cusC	hprR	FALSE	cusC	TRUE
b1969	yedW	b0573	cusF	hprR	FALSE	cusF	TRUE
b1969	yedW	b0574	cusB	hprR	FALSE	cusB	TRUE
b1969	yedW	b0575	cusA	hprR	FALSE	cusA	TRUE
b0305	ykgD	b0301	rclC	rclR	FALSE	rclC	TRUE
b0305	ykgD	b0303	rclB	rclR	FALSE	rclB	TRUE
b0305	ykgD	b0304	rclA	rclR	FALSE	rclA	TRUE
b4124	dcuR	b0620	citB	dcuR	TRUE	dpiA	FALSE
b0294	matA	b1891	flhC	ecpR	FALSE	flhC	TRUE
b0294	matA	b1892	flhD	ecpR	FALSE	flhD	TRUE
b1013	rutR	b1649	ydhM	rutR	TRUE	nemR	FALSE
b3357	crp	b3574	yiaJ	crp	TRUE	plaR	FALSE
b4124	dcuR	b0619	citA	dcuR	TRUE	dpiB	FALSE
b0080	fruR	b1037	csgG	cra	FALSE	csgG	TRUE
b0080	fruR	b1038	csgF	cra	FALSE	csgF	TRUE
b0080	fruR	b1039	csgE	cra	FALSE	csgE	TRUE
b0080	fruR	b1136	icd	cra	FALSE	icd	TRUE
b0080	fruR	b1241	adhE	cra	FALSE	adhE	TRUE
b0080	fruR	b1676	pykF	cra	FALSE	pykF	TRUE
b0080	fruR	b1779	gapA	cra	FALSE	gapA	TRUE
b0080	fruR	b1780	yeaD	cra	FALSE	yeaD	TRUE
b0080	fruR	b1850	eda	cra	FALSE	eda	TRUE
b0080	fruR	b1851	edd	cra	FALSE	edd	TRUE
b1450	yncC	b0953	rmf	mcbR	FALSE	rmf	TRUE
b1450	yncC	b1258	yciF	mcbR	FALSE	yciF	TRUE
b1450	yncC	b1259	yciG	mcbR	FALSE	yciG	TRUE
b1594	dgsA	b1101	ptsG	mlc	FALSE	ptsG	TRUE
b3021	ygiT	b1037	csgG	mqsA	FALSE	csgG	TRUE
b3021	ygiT	b1038	csgF	mqsA	FALSE	csgF	TRUE
b3021	ygiT	b1039	csgE	mqsA	FALSE	csgE	TRUE
b1649	ydhM	b1650	nemA	nemR	FALSE	nemA	TRUE
b1649	ydhM	b1651	gloA	nemR	FALSE	gloA	TRUE
b0846	ybjK	b0953	rmf	rcdA	FALSE	rmf	TRUE
b0846	ybjK	b0958	sulA	rcdA	FALSE	sulA	TRUE
b0846	ybjK	b1037	csgG	rcdA	FALSE	csgG	TRUE
b0846	ybjK	b1038	csgF	rcdA	FALSE	csgF	TRUE
b0846	ybjK	b1039	csgE	rcdA	FALSE	csgE	TRUE
b0846	ybjK	b1163	bluF	rcdA	FALSE	bluF	TRUE
b0846	ybjK	b1597	asr	rcdA	FALSE	asr	TRUE
b1162	ycgE	b1164	ycgZ	bluR	FALSE	ycgZ	TRUE
b1162	ycgE	b1165	ymgA	bluR	FALSE	ymgA	TRUE
b1162	ycgE	b1166	ariR	bluR	FALSE	ariR	TRUE
b1162	ycgE	b1167	ymgC	bluR	FALSE	ymgC	TRUE
b1328	ycjZ	b1321	ycjX	pgrR	FALSE	ycjX	TRUE
b1328	ycjZ	b1322	ycjF	pgrR	FALSE	ycjF	TRUE
b1328	ycjZ	b1325	ycjG	pgrR	FALSE	ycjG	TRUE
b1328	ycjZ	b1326	mpaA	pgrR	FALSE	mpaA	TRUE
b1328	ycjZ	b1327	ycjY	pgrR	FALSE	ycjY	TRUE
b1921	fliZ	b1285	gmr	fliZ	TRUE	pdeR	FALSE
b4062	soxS	b1378	pfo	soxS	TRUE	ydbK	FALSE
b0294	matA	b1923	fliC	ecpR	FALSE	fliC	TRUE
b2079	baeR	b2077	iceT	baeR	TRUE	mdtD	FALSE
b3912	cpxR	b2077	iceT	cpxR	TRUE	mdtD	FALSE
b1334	fnr	b2195	dsbE	fnr	TRUE	ccmG	FALSE
b0761	modE	b2195	dsbE	modE	TRUE	ccmG	FALSE
b1221	narL	b2195	dsbE	narL	TRUE	ccmG	FALSE
b2193	narP	b2195	dsbE	narP	TRUE	ccmG	FALSE
b0620	citB	b3093	exuT	dpiA	FALSE	exuT	TRUE
b0620	citB	b3236	mdh	dpiA	FALSE	mdh	TRUE
b0080	fruR	b2415	ptsH	cra	FALSE	ptsH	TRUE
b0080	fruR	b2416	ptsI	cra	FALSE	ptsI	TRUE
b0080	fruR	b2417	crr	cra	FALSE	crr	TRUE
b0080	fruR	b2712	hypF	cra	FALSE	hypF	TRUE
b0080	fruR	b2779	eno	cra	FALSE	eno	TRUE
b0080	fruR	b2925	fbaA	cra	FALSE	fbaA	TRUE
b0080	fruR	b2926	pgk	cra	FALSE	pgk	TRUE
b0080	fruR	b2927	epd	cra	FALSE	epd	TRUE
b0080	fruR	b3403	pck	cra	FALSE	pck	TRUE
b0080	fruR	b3599	mtlA	cra	FALSE	mtlA	TRUE
b0080	fruR	b3600	mtlD	cra	FALSE	mtlD	TRUE
b0080	fruR	b3916	pfkA	cra	FALSE	pfkA	TRUE
b1594	dgsA	b2415	ptsH	mlc	FALSE	ptsH	TRUE
b1594	dgsA	b2416	ptsI	mlc	FALSE	ptsI	TRUE
b1594	dgsA	b2417	crr	mlc	FALSE	crr	TRUE
b3021	ygiT	b2741	rpoS	mqsA	FALSE	rpoS	TRUE
b2427	yfeT	b2428	murQ	murR	FALSE	murQ	TRUE
b2427	yfeT	b2429	murP	murR	FALSE	murP	TRUE
b1434	ydcN	b3607	cysE	sutR	FALSE	cysE	TRUE
b2554	yfhA	b2570	rseC	glrR	FALSE	rseC	TRUE
b2554	yfhA	b2571	rseB	glrR	FALSE	rseB	TRUE
b2554	yfhA	b2572	rseA	glrR	FALSE	rseA	TRUE
b2554	yfhA	b2573	rpoE	glrR	FALSE	rpoE	TRUE
b3912	cpxR	b2665	ygaU	cpxR	TRUE	kbp	FALSE
b0080	fruR	b4014	aceB	cra	FALSE	aceB	TRUE
b0080	fruR	b4015	aceA	cra	FALSE	aceA	TRUE
b0080	fruR	b4016	aceK	cra	FALSE	aceK	TRUE
b1712	ihfA	b3767	ilvG_1	ihfA	TRUE	-	FALSE
b1712	ihfA	b3768	ilvG_2	ihfA	TRUE	-	FALSE
b0912	ihfB	b3767	ilvG_1	ihfB	TRUE	-	FALSE
b0912	ihfB	b3768	ilvG_2	ihfB	TRUE	-	FALSE
b1450	yncC	b3995	rsd	mcbR	FALSE	rsd	TRUE
b1450	yncC	b1257	yciE	mcbR	FALSE	yciE	TRUE
b0846	ybjK	b3995	rsd	rcdA	FALSE	rsd	TRUE
b1328	ycjZ	b4525	ymjC	pgrR	FALSE	ymjC	TRUE
b1328	ycjZ	b4673	ymjD	pgrR	FALSE	ymjD	TRUE
b2554	yfhA	b4441	glmY	glrR	FALSE	glmY	TRUE
b0889	lrp	b3767	ilvG_1	lrp	TRUE	-	FALSE
b0889	lrp	b3768	ilvG_2	lrp	TRUE	-	FALSE
