tf_bnum	tf_symbol	gene_bnum	gene_symbol
b4366	bglJ	b0076	leuO
b4366	bglJ	b3723	bglG
b4000	hupA	b0759	galE
b0440	hupB	b0759	galE
b0620	citB	b0618	citC
b0620	citB	b3093	exuT
b0620	citB	b3236	mdh
b1891	flhC	b0655	gltI
b1891	flhC	b1073	flgB
b1891	flhC	b1082	flgK
b1891	flhC	b1880	flhB
b1891	flhC	b1904	yecR
b1891	flhC	b1922	fliA
b1891	flhC	b1924	fliD
b1891	flhC	b1937	fliE
b1891	flhC	b1938	fliF
b1891	flhC	b1944	fliL
b1892	flhD	b0655	gltI
b1892	flhD	b1073	flgB
b1892	flhD	b1082	flgK
b1892	flhD	b1880	flhB
b1892	flhD	b1904	yecR
b1892	flhD	b1922	fliA
b1892	flhD	b1924	fliD
b1892	flhD	b1937	fliE
b1892	flhD	b1938	fliF
b1892	flhD	b1944	fliL
b0080	fruR	b3357	crp
b0080	fruR	b1040	csgD
b0080	fruR	b0733	cydA
b0080	fruR	b1136	icd
b0080	fruR	b1241	adhE
b0080	fruR	b1676	pykF
b0080	fruR	b1702	ppsA
b0080	fruR	b1779	gapA
b0080	fruR	b1851	edd
b0080	fruR	b2415	ptsH
b0080	fruR	b2712	hypF
b0080	fruR	b2779	eno
b0080	fruR	b2927	epd
b0080	fruR	b3403	pck
b0080	fruR	b3599	mtlA
b0080	fruR	b3916	pfkA
b0080	fruR	b4014	aceB
b3512	gadE	b3491	yhiM
b3512	gadE	b3506	slp
b3512	gadE	b3517	gadA
b3512	gadE	b3800	aslB
b3512	gadE	b4132	cadB
b1507	hipA	b1508	hipB
b1507	hipA	b2784	relA
b1508	hipB	b1508	hipB
b1508	hipB	b2784	relA
b1237	hns	b4116	adiY
b1237	hns	b0564	appY
b1237	hns	b4133	cadC
b1237	hns	b1040	csgD
b1237	hns	b3556	cspA
b1237	hns	b2369	evgA
b1237	hns	b1892	flhD
b1237	hns	b3512	gadE
b1237	hns	b3515	gadW
b1237	hns	b3516	gadX
b1237	hns	b4480	hdfR
b1237	hns	b1237	hns
