tf_bnum	tf_symbol	gene_bnum	gene_symbol	new_tf_symbol	test_tf	new_gene_symbol	test_gene
b0620	citB	b0618	citC	dpiA	FALSE	citC	TRUE
b0620	citB	b3093	exuT	dpiA	FALSE	exuT	TRUE
b0620	citB	b3236	mdh	dpiA	FALSE	mdh	TRUE
b0080	fruR	b3357	crp	cra	FALSE	crp	TRUE
b0080	fruR	b1040	csgD	cra	FALSE	csgD	TRUE
b0080	fruR	b0733	cydA	cra	FALSE	cydA	TRUE
b0080	fruR	b1136	icd	cra	FALSE	icd	TRUE
b0080	fruR	b1241	adhE	cra	FALSE	adhE	TRUE
b0080	fruR	b1676	pykF	cra	FALSE	pykF	TRUE
b0080	fruR	b1702	ppsA	cra	FALSE	ppsA	TRUE
b0080	fruR	b1779	gapA	cra	FALSE	gapA	TRUE
b0080	fruR	b1851	edd	cra	FALSE	edd	TRUE
b0080	fruR	b2415	ptsH	cra	FALSE	ptsH	TRUE
b0080	fruR	b2712	hypF	cra	FALSE	hypF	TRUE
b0080	fruR	b2779	eno	cra	FALSE	eno	TRUE
b0080	fruR	b2927	epd	cra	FALSE	epd	TRUE
b0080	fruR	b3403	pck	cra	FALSE	pck	TRUE
b0080	fruR	b3599	mtlA	cra	FALSE	mtlA	TRUE
b0080	fruR	b3916	pfkA	cra	FALSE	pfkA	TRUE
b0080	fruR	b4014	aceB	cra	FALSE	aceB	TRUE
b1712	ihfA	b3574	yiaJ	ihfA	TRUE	plaR	FALSE
b0912	ihfB	b3574	yiaJ	ihfB	TRUE	plaR	FALSE
b1450	yncC	b0953	rmf	mcbR	FALSE	rmf	TRUE
b1450	yncC	b1259	yciG	mcbR	FALSE	yciG	TRUE
b1450	yncC	b3995	rsd	mcbR	FALSE	rsd	TRUE
b1594	dgsA	b1101	ptsG	mlc	FALSE	ptsG	TRUE
b1594	dgsA	b2415	ptsH	mlc	FALSE	ptsH	TRUE
b3021	ygiT	b1040	csgD	mqsA	FALSE	csgD	TRUE
b3021	ygiT	b0880	cspD	mqsA	FALSE	cspD	TRUE
b3021	ygiT	b2741	rpoS	mqsA	FALSE	rpoS	TRUE
b2427	yfeT	b2428	murQ	murR	FALSE	murQ	TRUE
b4327	yjiE	b0199	metN	hypT	FALSE	metN	TRUE
b4327	yjiE	b0733	cydA	hypT	FALSE	cydA	TRUE
b0846	ybjK	b1040	csgD	rcdA	FALSE	csgD	TRUE
b0846	ybjK	b0953	rmf	rcdA	FALSE	rmf	TRUE
b0846	ybjK	b0958	sulA	rcdA	FALSE	sulA	TRUE
b0846	ybjK	b1163	bluF	rcdA	FALSE	bluF	TRUE
b0846	ybjK	b1597	asr	rcdA	FALSE	asr	TRUE
b0846	ybjK	b3995	rsd	rcdA	FALSE	rsd	TRUE
b1111	ycfQ	b1112	bhsA	comR	FALSE	bhsA	TRUE
b1162	ycgE	b1164	ycgZ	bluR	FALSE	ycgZ	TRUE
b1328	ycjZ	b1323	tyrR	pgrR	FALSE	tyrR	TRUE
b1328	ycjZ	b1321	ycjX	pgrR	FALSE	ycjX	TRUE
b1328	ycjZ	b1325	ycjG	pgrR	FALSE	ycjG	TRUE
b1328	ycjZ	b1327	ycjY	pgrR	FALSE	ycjY	TRUE
b1434	ydcN	b1922	fliA	sutR	FALSE	fliA	TRUE
b1434	ydcN	b3607	cysE	sutR	FALSE	cysE	TRUE
b1969	yedW	b0571	cusR	hprR	FALSE	cusR	TRUE
b1969	yedW	b0572	cusC	hprR	FALSE	cusC	TRUE
b2554	yfhA	b2573	rpoE	glrR	FALSE	rpoE	TRUE
b2554	yfhA	b4441	glmY	glrR	FALSE	glmY	TRUE
b2554	yfhA	b4725	rseD	glrR	FALSE	rseD	TRUE
b0305	ykgD	b0304	rclA	rclR	FALSE	rclA	TRUE
b0294	matA	b1892	flhD	ecpR	FALSE	flhD	TRUE
b3357	crp	b3574	yiaJ	crp	TRUE	plaR	FALSE
b0294	matA	b1922	fliA	ecpR	FALSE	fliA	TRUE
b0294	matA	b1923	fliC	ecpR	FALSE	fliC	TRUE
