tf_bnum	gene_bnum	cset_type	cset_id	n
b0020	b0029	negative	negative_2_1	3
b0020	b0051	negative	negative_2_1	3
b0020	b0080	negative	negative_2_1	3
b0020	b0082	negative	negative_2_1	3
b0020	b0088	negative	negative_2_1	3
b0020	b0093	negative	negative_2_1	3
b0020	b0149	negative	negative_2_1	3
b0020	b0167	negative	negative_2_1	3
b0020	b0242	negative	negative_2_1	3
b0020	b0369	negative	negative_2_1	3
b0020	b0391	negative	negative_2_1	3
b0020	b0414	negative	negative_2_1	3
b0020	b0421	negative	negative_2_1	3
b0020	b0463	negative	negative_2_1	3
b0020	b0465	negative	negative_2_1	3
b0020	b0470	negative	negative_2_1	3
b0020	b0492	negative	negative_2_1	3
b0020	b0659	negative	negative_2_1	3
b0020	b0675	negative	negative_2_1	3
b0020	b0923	negative	negative_2_1	3
b0020	b0955	negative	negative_2_1	3
b0020	b0962	negative	negative_2_1	3
b0020	b1034	negative	negative_2_1	3
b0020	b1107	negative	negative_2_1	3
b0020	b1128	negative	negative_2_1	3
b0020	b1129	negative	negative_2_1	3
b0020	b1214	negative	negative_2_1	3
b0020	b1249	negative	negative_2_1	3
b0020	b1323	negative	negative_2_1	3
b0020	b1413	negative	negative_2_1	3
b0020	b1424	negative	negative_2_1	3
b0020	b1624	negative	negative_2_1	3
b0020	b1865	negative	negative_2_1	3
b0020	b1913	negative	negative_2_1	3
b0020	b1914	negative	negative_2_1	3
b0020	b1928	negative	negative_2_1	3
b0020	b2064	negative	negative_2_1	3
b0020	b2065	negative	negative_2_1	3
b0020	b2188	negative	negative_2_1	3
b0020	b2216	negative	negative_2_1	3
b0020	b2300	negative	negative_2_1	3
b0020	b2303	negative	negative_2_1	3
b0020	b2320	negative	negative_2_1	3
b0020	b2431	negative	negative_2_1	3
b0020	b2441	negative	negative_2_1	3
b0020	b2501	negative	negative_2_1	3
b0020	b2502	negative	negative_2_1	3
b0020	b2513	negative	negative_2_1	3
b0020	b2564	negative	negative_2_1	3
b0020	b2566	negative	negative_2_1	3
b0020	b2567	negative	negative_2_1	3
b0020	b2576	negative	negative_2_1	3
b0020	b2610	negative	negative_2_1	3
b0020	b2744	negative	negative_2_1	3
b0020	b2745	negative	negative_2_1	3
b0020	b2784	negative	negative_2_1	3
b0020	b2822	negative	negative_2_1	3
b0020	b2827	negative	negative_2_1	3
b0020	b2830	negative	negative_2_1	3
b0020	b2893	negative	negative_2_1	3
b0020	b2901	negative	negative_2_1	3
b0020	b2908	negative	negative_2_1	3
b0020	b2909	negative	negative_2_1	3
b0020	b2947	negative	negative_2_1	3
b0020	b2962	negative	negative_2_1	3
b0020	b3019	negative	negative_2_1	3
b0020	b3030	negative	negative_2_1	3
b0020	b3032	negative	negative_2_1	3
b0020	b3147	negative	negative_2_1	3
b0020	b3191	negative	negative_2_1	3
b0020	b3192	negative	negative_2_1	3
b0020	b3197	negative	negative_2_1	3
b0020	b3199	negative	negative_2_1	3
b0020	b3201	negative	negative_2_1	3
b0020	b3205	negative	negative_2_1	3
b0020	b3210	negative	negative_2_1	3
b0020	b3247	negative	negative_2_1	3
b0020	b3279	negative	negative_2_1	3
b0020	b3283	negative	negative_2_1	3
b0020	b3288	negative	negative_2_1	3
b0020	b3352	negative	negative_2_1	3
b0020	b3385	negative	negative_2_1	3
b0020	b3386	negative	negative_2_1	3
b0020	b3551	negative	negative_2_1	3
b0020	b3590	negative	negative_2_1	3
b0020	b3607	negative	negative_2_1	3
b0020	b3640	negative	negative_2_1	3
b0020	b3701	negative	negative_2_1	3
b0020	b3702	negative	negative_2_1	3
b0020	b3779	negative	negative_2_1	3
b0020	b3802	negative	negative_2_1	3
b0020	b3813	negative	negative_2_1	3
b0020	b3844	negative	negative_2_1	3
b0020	b3859	negative	negative_2_1	3
b0020	b3911	negative	negative_2_1	3
b0020	b3961	negative	negative_2_1	3
b0020	b3963	negative	negative_2_1	3
b0020	b3964	negative	negative_2_1	3
b0020	b3965	negative	negative_2_1	3
b0020	b3997	negative	negative_2_1	3
b0020	b4043	negative	negative_2_1	3
b0020	b4160	negative	negative_2_1	3
b0020	b4170	negative	negative_2_1	3
b0020	b4221	negative	negative_2_1	3
b0020	b4235	negative	negative_2_1	3
b0020	b4295	negative	negative_2_1	3
b0034	b0029	negative	negative_2_1	3
b0034	b0051	negative	negative_2_1	3
