tf_bnum	tf_symbol	gene_bnum	gene_symbol	valid_tf	valid_gene
b0020	nhaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0034	caiF	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0064	araC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0069	sgrR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0076	leuO	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0080	fruR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0081	mraZ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0113	pdhR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0162	cdaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0225	yafQ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0226	dinJ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0294	matA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0305	ykgD	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0313	betI	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0315	yahA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0330	prpR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0338	cynR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0345	lacI	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0346	mhpR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0399	phoB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0413	nrdR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0435	bolA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0440	hupB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0464	acrR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0487	cueR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0504	allS	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0506	allR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0564	appY	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0566	envY	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0571	cusR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0620	citB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0676	nagC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0683	fur	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0694	kdpE	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0730	mngR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0761	modE	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0817	mntR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0840	deoR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0846	ybjK	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0889	lrp	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0912	ihfB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0995	torR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1013	rutR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1014	putA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1040	csgD	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1111	ycfQ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1130	phoP	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1162	ycgE	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1187	fadR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1201	dhaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1221	narL	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1237	hns	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1275	cysB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1299	puuR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1303	pspF	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1323	tyrR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1328	ycjZ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1334	fnr	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1384	feaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1399	paaX	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1434	ydcN	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1450	yncC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1499	ydeO	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1507	hipA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1508	hipB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1512	lsrR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1530	marR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1531	marA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1563	relE	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1564	relB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1570	dicA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1594	dgsA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1608	rstA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1618	uidR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1620	malI	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1642	slyA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1649	ydhM	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1658	purR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1712	ihfA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1735	chbR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1790	yeaM	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1827	kdgR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1891	flhC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1892	flhD	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1914	uvrY	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
