# 
# ## Query file name:  
# GeneProduct-IDs.txt
# 
# ## DATA version:  
# RegulonDB v10.7	 ECOCYC: v23.5
# 
# ## File creation date:  
# [2020-06-30]
# 
# ## Dataset description:
# Information about Gene and IDs from Ecocyc and GenBank
#
# ## Columns description:  
# - REGULONDB_ID:    RegulonDB Gene Identifier
# - ECOCYC_ID :      Ecocyc Gene Identifier
# - BNUMBER  :       GenBank Identifier / Locus tag
# - GENE_NAME :      Gene name
# - GENE_SYNONYMS:   Gene synonyms
# - GENE_POSLEFT:    Absolute genome left position of the gene
# - GENE_POSRIGHT:   Absolute genome right position of the gene
# - GENE_STRAND:     Genome orientation [forward, reverse]
# - GENE_TYPE:       Type of the gene [ gene, pseudo gene, phantom gene]
# - PRODUCT_ID:    RegulonDB Identifier
# - PRODUCT_NAME:  Product name
# - PRODUCT_SYNONYMS:Product synonyms 
# - PRODUCT_TYPE:    Product type [tRNA, small RNA, ]
#
# ## Data file summary:  
#
#  The totals and the unix commands using this data file is indicated.
#
#   Data File lines: 4739         ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | wc -l ```
# 
#
#  GENES:
#  ------------
#   Total of genes:        4739   ```grep -v '^#' GeneProduct-IDs.txt | cut -f1 | grep ECK12 | wc -l```
#   Genes without Ecocyc ID: 29   ```grep -v '^#' GeneProduct-IDs.txt | cut -f2 | grep -e  "-$" | wc -l```
#   Genes without bnumber:   84   ```grep -v '^#' GeneProduct-IDs.txt | cut -f3 | grep -e  "-$" | wc -l```
#   Gene Type Totals     :        ```grep -v '^#' GeneProduct-IDs.txt | cut -f9 | sort | uniq -c```
#        Genes           4532  
#        Phantom Gene      61
#        Pseudo Gene      146
#   Genes with more than one product: 
#   ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | cut -f1 | sort | uniq -c | sort -nr | cut -c1-5 | sort | uniq -c```
#        4726    1     4725 genes with 1 product  ( 94 of them have not product)
#           7    2        7 genes with 2 products
#   Genes without product: 94
#    ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | perl -ne 'chomp; @F=split(/\t/,$_); if ($F[9] eq "-") { print "$F[0] $F[3] $F[8] $F[9]\n";} ' |wc```
#
# PRODUCTS:
# -------------- 
#   small RNA genes: 120 
#     ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | perl -ne 'chomp; @F=split(/\t/,$_); if ($F[12] eq "small RNA") { print "$F[0]\t$F[3]\t$F[12]\n";} |wc’```
#
#
# ## Comments:
# [Details to consider about the data]
# 
#  * Some genes have no Ecocyc-ID because they come from RegulonDB collaborators curation
#  * Some genes have no BNumber because the genes reported in the papers are not included in the Genbank File
#  * Some genes have more than one product
#  * The small RNA from the RegulonDB collaborator are marked as “small RNA” in the product type
#
# REGULONDB_ID	ECOCYC_ID	BNUMBER	GENE_NAME	GENE_SYNONYMS	GENE_POSLEFT	GENE_POSRIGHT	GENE_STRAND	GENE_TYPE	PRODUCT_ID	PRODUCT_NAME	PRODUCT_SYNONYMS	PRODUCT_TYPE
ECK120001251	|EG11277|	b0001	thrL	ECK0001,EG11277,b0001	190	255	forward	 	ECK120005727	<i>thr</i> operon leader peptide	ThrL	 
ECK120000987	|EG10998|	b0002	thrA	ECK0002,EG10998,Hs,b0002,thrA1,thrA2,thrD	337	2799	forward	 	ECK120005463	fused aspartate kinase/homoserine dehydrogenase 1	ThrA,ThrD	 
ECK120000988	|EG10999|	b0003	thrB	ECK0003,EG10999,b0003	2801	3733	forward	 	ECK120005464	homoserine kinase	ThrB	 
ECK120000989	|EG11000|	b0004	thrC	ECK0004,EG11000,b0004	3734	5020	forward	 	ECK120005465	threonine synthase	ThrC	 
ECK120002701	|G6081|	b0005	yaaX	ECK0005,G6081,b0005	5234	5530	forward	 	ECK120007175	DUF2502 domain-containing protein YaaX	YaaX	 
ECK120000009	|EG10011|	b0006	yaaA	ECK0006,EG10011,b0006	5683	6459	reverse	 	ECK120004485	peroxide stress resistance protein YaaA	YaaA,protein that reduces intracellular iron levels under peroxide stress	 
ECK120001508	|EG11555|	b0007	yaaJ	ECK0007,EG11555,b0007	6529	7959	reverse	 	ECK120005984	putative transporter YaaJ	YaaJ	 
ECK120001509	|EG11556|	b0008	talB	ECK0008,EG11556,b0008,yaaK	8238	9191	forward	 	ECK120005985	transaldolase B	TalB,YaaK	 
ECK120001467	|EG11511|	b0009	mog	ECK0009,EG11511,b0009,bisD,chlG,mogA,yaaG	9306	9893	forward	 	ECK120005943	molybdopterin adenylyltransferase	BisD,ChlG,Mog,MogA,YaaG	 
ECK120001468	|EG11512|	b0010	satP	ECK0010,EG11512,b0010,yaaH	9928	10494	reverse	 	ECK120005944	acetate/succinate:H<sup>+</sup> symporter	SatP,YaaH	 
ECK120002702	|G6082|	b0011	yaaW	ECK0011,G6082,b0011	10643	11356	reverse	 	ECK120007176	putative enzyme-specific chaperone YaaW	YaaW	 
ECK120001465	|EG11509|	b0012	mbiA	ECK0012,EG11509,b0012,htgA,htpY	10830	11315	forward	 	ECK120005941	uncharacterized protein MbiA	HtgA,HtpY,MbiA	 
ECK120004453	|G8202|	b0013	yaaI	ECK0013,G8202,b0013	11382	11786	reverse	 	ECK120008889	DUF2541 domain-containing protein YaaI	YaaI	 
ECK120000235	|EG10241|	b0014	dnaK	ECK0014,EG10241,b0014,groPAB,groPC,groPF,grpC,grpF,seg	12163	14079	forward	 	ECK120004711	chaperone protein DnaK	DnaK,GrpC,GrpF,Hsp70,Seg,heat shock protein 70	 
ECK120002604	|G0-8893|	-	tpke11	G0-8893	14080	14167	forward	Phantom Gene	-	 	 	 
ECK120000234	|EG10240|	b0015	dnaJ	ECK0015,EG10240,b0015,groP,grpC	14168	15298	forward	 	ECK120004710	chaperone protein DnaJ	DnaJ,DnaK co-chaperone Hsp40,GroP,GrpC	 
ECK120002703	|G6083|	b0016	insL-1	ECK0016,G6083,b0016,yi81-1	15445	16557	forward	 	ECK120007177	IS186/IS421 transposase	InsL-1	 
